gene_name,DOR_1,DOR_2,DOR_3,NOR_1,NOR_2,NOR_3
AC091814,0,0,0,0,0,0
FUNDC2P1,25,14,17,32,21,16
AC124891,15,11,3,5,0,0
AC020611,0,0,0,0,3,0
AP000786,42,31,18,0,0,4
PDCD5P1,0,0,2,0,0,18
AC024901,0,0,6,0,0,0
AC148477,0,0,0,0,4,0
CCND2-AS1,0,23,28,21,12,17
AC026310,133,131,105,50,45,32
AP000943,2,2,0,0,0,0
AP003108,0,0,7,26,34,10
AC117500,27,29,16,0,3,0
AC069234,0,0,4,0,0,0
RPS6KB2-AS1,0,1,0,0,0,0
AP000777,5,2,7,1,2,2
AC092851,0,0,0,2,0,0
AC073916,3,0,0,0,0,0
AC006064,3,0,5,0,0,0
HADHAP2,23,4,34,32,30,6
AC024145,39,24,40,11,46,37
LINC02421,0,0,40,0,0,0
AC026333,0,0,0,0,0,0
CYP2A6,35,7,30,56,37,3
MT1JP,29,24,5,23,57,138
TOMM20P2,0,0,2,4,2,0
AC131009,24,6,26,0,26,7
PSMC1P9,3,0,0,1,9,0
AC005906,0,0,0,0,0,0
LINC02824,0,0,0,0,0,0
AC079949,10,9,11,15,10,10
AC084117,42,31,39,12,21,30
AC007688,2,1,1,0,0,0
AC027277,0,0,0,2,0,0
TAS2R63P,0,5,0,0,0,0
ELOCP31,0,0,0,0,0,0
CACNA1C-AS4,0,0,0,2,0,0
AC026362,842,1920,1092,2952,2720,942
AL590560,111,115,174,67,260,86
CBX3P4,3,0,3,0,0,0
MRPL40P1,8,10,21,12,32,0
LINC02446,14,5,4,0,25,4
PAPPA-AS1,2,0,0,0,0,0
AP001858,0,0,0,0,0,40
CTSO,3515,3104,3115,1918,1606,994
AC026333,0,0,1,0,0,5
MTRNR2L10,0,0,0,0,0,0
COA8,774,949,633,2139,2151,1737
AC087257,8,10,0,0,0,0
TRAPPC2B,468,320,222,1680,803,689
DNAAF4,190,85,126,191,181,165
A2MP1,0,0,0,0,4,19
AC078889,5,1,4,0,0,1
URB1-AS1,369,304,233,873,734,832
AC008033,2,0,0,0,0,0
AC090673,0,0,0,0,0,0
AC092112,0,0,0,0,7,15
ZNF432,1593,1293,1474,796,614,610
MTRF1LP1,4,2,4,0,8,3
SBNO1-AS1,156,217,207,511,250,204
AC092745,0,0,0,3,0,0
ATP5MFP5,0,2,0,0,0,8
AC135586,6,11,9,3,0,0
AP001453,21,23,10,67,33,0
SOX5-AS1,2,0,10,0,0,0
LINC01152,60,58,35,135,46,60
LINC00944,4,0,0,0,16,3
EGLN3P1,0,2,0,0,0,12
AC117373,0,0,2,0,0,0
ZKSCAN7P1,0,0,0,0,0,0
AC007637,33,27,55,6,0,0
AC006206,0,0,4,0,0,10
ITFG2-AS1,5,1,3,1,7,0
LINC02598,0,2,0,0,0,0
AC022080,0,0,0,0,0,4
SMLR1,0,0,4,4,34,32
ATF4P4,2,9,23,6,10,31
GCSHP4,2,0,0,0,0,0
AC024940,4,0,3,2,0,0
AP001880,3,0,0,0,0,0
AC055720,0,0,0,0,0,0
TAS2R30,0,0,0,4,33,1
AP003717,0,3,0,0,0,0
AC012158,0,0,0,2,0,0
LINC00507,0,0,5,0,0,0
AP002518,0,0,0,0,0,0
AP003721,0,12,0,20,40,9
AC078962,0,0,0,0,0,0
AC018523,32,0,0,0,0,8
AC005255,0,0,0,0,0,1
AC023512,0,0,0,10,0,0
MTRNR2L3,0,0,2,0,0,0
ZNF10,1063,1166,890,757,617,407
ZNF486,138,259,269,250,87,82
AC022509,5,6,11,3,1,3
SMIM3,9019,9012,9222,11286,7817,9728
SUPT16HP1,44,22,59,6,26,34
RPL7AP3,0,2,0,0,10,16
AC026333,0,0,0,0,0,0
AC073912,16,0,28,7,8,0
AC019209,0,2,0,4,10,0
CACNA1C-IT2,0,0,0,5,0,0
USP30-AS1,21,12,9,27,82,40
DDX11L8,0,0,0,0,0,0
LINC02454,32,97,27,24,28,0
HMBS,1328,1372,1151,2752,2571,2193
CACNA1C-AS2,7,2,0,13,11,5
TAS2R64P,0,8,13,17,13,0
AC048382,0,25,0,23,0,0
AP006289,0,0,0,4,0,0
AC112694,0,3,4,0,0,0
METTL8P1,4,2,0,2,0,0
LINC02376,0,0,0,0,0,0
AC135279,18,16,6,14,4,4
ZNF225,163,190,205,188,83,77
AC073912,7,4,20,0,0,0
NDUFA5P6,0,1,0,0,1,1
AC087235,3,0,0,0,0,0
AC025423,5,5,6,0,2,0
NIFKP3,0,0,0,0,0,0
RPL41P2,38,65,43,133,135,164
ABCC6P1,16,0,4,16,0,0
AP006333,1,0,0,0,0,0
AC092470,0,0,0,0,0,0
AP002748,52,36,303,0,1675,1350
AC007834,4,0,0,0,0,0
NTAN1P3,0,0,2,0,0,0
HSPA8P5,21,11,6,2,26,10
AC027544,13,18,17,0,0,0
AC023050,0,0,0,0,0,0
PPIAL4D,0,0,0,0,0,0
AC009509,0,0,19,0,224,0
AC005832,0,0,0,0,0,0
UBE2NP1,0,0,0,0,0,0
RPL41P5,10,15,11,51,30,40
AC079866,14,4,0,0,16,0
AL357673,0,11,0,0,0,0
AC006206,0,0,0,0,0,0
OSBPL9P4,0,0,0,0,0,0
LINC02552,0,0,0,0,0,0
LINC02414,0,0,0,0,12,0
AC010175,4,0,0,0,0,9
AC005840,52,97,65,71,17,22
TAS2R31,4,12,6,4,4,0
AC019209,0,0,0,8,0,0
AC010186,0,0,0,0,0,6
AP003559,0,19,4,0,0,48
AP000763,2,3,8,0,47,17
AC007552,5,2,0,0,0,0
DND1,28,65,20,73,67,17
AC080075,7,5,1,14,4,28
SALL3,0,0,4,23,20,16
YWHABP2,33,6,17,11,13,40
AC023050,0,0,0,0,6,0
TRAV11,3,0,0,0,0,0
AP006333,0,2,0,0,0,0
AC023796,0,12,0,0,0,0
AL139300,176,0,160,0,0,0
AC009509,0,0,1,0,6,0
MRGPRF-AS1,0,0,0,0,8,0
AP003419,7,7,0,0,37,30
AP000812,0,0,0,0,0,0
POLG2,656,696,768,741,487,253
AP002373,0,0,0,0,0,0
SMIM10L1,3087,2049,1998,4290,3630,3172
AC046130,8,9,2,0,0,0
AC007406,0,7,4,0,0,0
AC148477,0,20,0,0,0,35
AC156455,4,29,12,20,61,36
AC092745,17,6,29,32,10,12
TRAV1-2,0,0,0,0,0,0
AC009509,0,0,4,0,20,0
LINC01486,0,0,0,0,0,0
AC007552,8,0,3,0,0,0
AL049650,0,2,13,6,0,0
AC079866,0,0,0,0,0,0
OR13A1,144,149,214,122,199,165
LINC02361,24,9,19,0,80,106
AC007406,0,0,0,2,0,0
NLRP9P1,0,0,0,0,0,0
LINC02390,21,16,0,0,29,4
AC027544,8,0,7,0,0,0
ENPP7P5,5,0,0,5,0,0
TRDV3,0,0,0,0,0,0
AP003108,117,128,178,27,141,171
AC010186,205,114,62,157,95,122
AC026358,12,11,0,0,0,0
LINC02393,0,0,0,0,0,4
AP003170,4,0,0,0,0,0
CYP2B7P,125,37,62,60,34,0
AK6P1,0,0,0,2,0,0
AP002414,28,11,22,0,0,0
MTRNR2L1,0,0,4,0,0,0
AC092747,0,0,0,0,0,0
ZBTB11-AS1,234,278,158,356,182,207
AC090424,0,0,0,0,4,0
PDE2A-AS2,4,17,0,0,146,0
AC023051,0,0,3,0,0,0
LINC02441,0,0,0,0,13,0
AC010132,90,4,16,0,7,0
AC006518,0,0,0,0,0,0
AC005906,0,0,0,0,32,0
AC244131,0,0,0,0,0,0
CLEC12B,10,6,0,5,27,0
AC112777,15,66,29,14,14,14
AC025423,16,21,23,12,3,1
KLRA1P,64,87,76,60,65,12
AC078962,0,0,0,0,0,0
LIMS4,267,363,7,0,49,96
AC141557,13,78,0,0,0,0
AC025423,15,54,13,18,26,33
CCDC58P5,0,3,0,1,2,0
AC006518,11,0,6,0,6,0
ZNF350,730,640,580,625,807,491
AP001160,0,22,5,40,33,39
AC026369,4,21,0,0,0,0
ENTR1P1,2,2,2,0,7,0
AL137779,4,6,1,0,17,0
AC134349,3,0,1,2,0,1
PGA5,1502,1941,1063,11277,10037,6746
BTG1P1,1,0,0,0,0,2
CACNA1C-IT3,0,0,0,0,0,0
AP003717,0,0,0,0,0,0
AC006065,0,0,0,0,0,0
AC027544,4,7,0,0,0,0
RBBP4P5,2,0,4,4,4,0
KDM2B-DT,0,0,5,0,0,0
AP002784,84,74,87,134,173,181
MADD-AS1,0,0,0,0,0,0
AC009511,3,0,0,0,0,0
AC005832,0,0,2,0,0,0
PLBD1-AS1,183,112,116,60,56,46
CACNA1C-AS3,1,0,0,0,0,0
ZNF253,299,358,309,226,68,72
PDCL3P7,4,0,0,0,0,0
AP002383,4,4,2,0,0,0
AC079031,8,0,7,54,0,0
AP000753,3,1,2,0,0,0
AC022613,17,26,48,109,96,27
C17orf100,241,142,115,393,158,76
CAPNS2,0,51,2,0,0,0
AP000777,1,0,0,0,1,0
TPT1P12,0,1,0,0,0,0
AP000721,0,0,0,0,11,0
ATP5MFP4,3,0,0,1,0,14
AC068790,14,5,17,0,0,0
AC023157,3,0,2,7,4,21
TCP1P3,0,2,0,0,0,0
KNOP1P1,0,0,0,0,0,9
AC048338,0,0,0,114,0,0
PARP11-AS1,19,8,14,0,0,9
SLC5A8,0,0,0,0,0,62
AC079031,8,5,0,22,0,0
LINC02366,0,0,0,0,0,0
MTRNR2L7,3,0,0,0,0,0
AC022509,45,29,36,10,10,5
AC018410,4,0,0,24,4,0
AP002770,0,0,5,0,2,0
IQSEC3P1,6,7,7,2,28,0
AC005840,20,4,19,4,8,0
AC090023,0,0,13,0,0,0
AC084819,8,0,2,0,12,12
KRT17P8,0,0,0,0,0,0
PPP1R14B-AS1,19,49,35,68,68,95
AC148477,0,13,0,0,0,0
AP003721,0,15,5,0,0,0
AP002518,1,0,1,1,0,0
AC026369,0,0,0,0,24,34
AC069503,2,5,24,11,21,19
AC055876,0,0,0,0,1,0
AC131009,0,0,0,0,0,67
AC079602,2,0,0,0,0,0
AL513165,30,0,0,0,0,0
AC018653,209,229,0,47,22,29
SNRPEP2,0,0,0,18,4,2
AC084375,0,6,0,0,0,0
AP000462,0,0,0,10,0,0
AC053513,1,0,0,0,0,0
AC092821,0,0,0,0,0,0
LIMS3,8,44,9,0,17,41
KHDC1L,0,1,0,13,0,0
AC134349,1,0,0,6,6,0
AC008013,0,0,0,0,0,0
AC005833,0,0,0,0,5,0
AC084816,0,4,3,0,0,10
AC022367,0,0,3,0,0,0
HP,47,55,66,10,103,42
AC087241,0,4,0,0,5,0
AC023595,0,0,0,0,0,0
AC010186,115,59,35,33,37,29
RARS1P1,0,0,0,0,0,0
AP002761,110,97,76,219,111,108
AC008011,0,0,0,0,12,0
SRSF3P1,13,5,0,4,3,0
AC016746,0,0,0,0,4,4
AP003721,10,0,12,2,0,0
C11orf97,0,0,0,15,0,0
AP001363,3,3,6,0,27,0
AC091078,0,0,0,18,0,16
AL049844,13,13,12,1,1,1
KCNK4-TEX40,4,3,0,6,12,4
AP003170,0,0,0,12,0,0
RPL29P33,0,0,0,0,0,0
RPEP6,0,0,0,0,0,0
AC006512,5,0,0,0,0,0
AC073530,5,2,0,0,0,0
MIR200CHG,0,4,0,0,0,0
AP001453,75,78,70,130,182,121
DENND11,1670,1795,1344,1020,967,748
AC016957,0,0,0,0,0,0
CLIP1-AS1,8,16,0,0,22,12
LRRC37A13P,0,0,1,0,0,0
LSM14A,7612,7196,6926,5083,4224,2443
NHLRC4,9,84,4,74,82,4
OR4F28P,0,0,0,0,0,0
AC090502,0,0,0,0,0,0
OR11H12,0,0,0,0,0,0
AL356756,11,0,0,0,0,0
RRN3P3,337,513,480,349,770,892
CLLU1,0,0,5,0,56,54
ODC1-DT,63,65,72,70,75,43
LINC02874,2,0,0,0,0,0
LINC02821,12,17,34,36,17,12
AL512310,0,1,0,7,0,5
AC079905,0,0,0,0,0,0
PGAM1P5,0,1,5,0,9,0
AC084033,6,0,0,0,0,0
TMPO-AS1,9,19,16,86,42,6
CR383656,5,30,34,19,0,2
AC009318,51,42,23,40,45,43
HMGN2P6,0,3,0,2,3,0
AC009135,0,0,0,2,0,1
AC025423,1,1,1,1,1,1
LINC02293,0,4,0,0,6,0
AC126178,0,0,0,9,10,0
HNRNPA1P50,0,11,0,8,7,1
AC025161,0,0,0,0,0,0
AC084398,6,4,5,0,0,7
AC112229,29,151,156,28,49,64
NACAP8,0,0,0,0,0,0
GATC,2244,3107,2694,1923,2303,1348
LNCOG,0,0,0,0,0,28
PRXL2AP1,0,0,0,0,0,0
AC007569,17,2,28,8,31,36
AC079907,7,4,13,8,16,23
AC079601,0,18,0,5,0,0
AC079584,4,5,0,0,0,0
DYNLL1P4,1,4,6,11,7,3
LINC01619,375,202,276,22,366,583
AC020612,2,8,2,0,8,0
PHBP19,6,13,7,6,0,7
AC124947,0,0,0,0,0,0
AC008014,46,68,42,96,88,173
AC136443,1,0,7,2,3,12
ZNF271P,2122,1900,2287,1644,1823,1064
AL928654,153,283,303,235,108,18
KIRREL3-AS1,6,3,17,0,0,0
AL162311,0,0,0,2,3,0
AC092652,0,0,0,0,4,0
AC127164,15,9,13,0,0,4
AC012464,12,18,33,11,0,3
AC013437,0,0,0,0,0,3
AL132780,7,0,11,14,30,28
AC068305,12,0,0,0,0,0
AC025423,0,0,1,0,0,0
AC093027,0,0,0,0,0,6
AC008147,2,24,12,16,0,0
FAHD2P1,0,0,0,0,4,0
AC073896,320,215,328,548,516,377
AL162311,0,2,0,0,0,0
AC090017,2,0,0,0,0,0
AL589743,4,7,0,0,1,0
ZBED6,22559,1137,21595,4739,11813,14115
AC087311,0,4,4,0,0,0
AC008127,0,0,0,0,0,14
AC138123,0,0,0,0,0,0
AC012555,11,5,4,0,0,0
MGAM,4,75,16,0,407,103
PRELID2P1,3,0,0,21,0,0
AC068888,881,1228,1125,1191,798,573
AL928654,2,25,0,0,38,0
AC011603,6,0,0,0,10,0
AC027287,0,0,0,0,0,2
AC048341,511,550,484,137,317,275
AC008770,0,0,0,0,0,0
BNIP3P6,0,2,0,0,2,0
AC073863,0,0,0,0,0,0
FNTB,1113,1153,1313,1868,980,699
AC138969,0,0,18,7,4,13
AC063924,0,0,0,0,0,0
AC079601,0,2,3,0,2,0
AC025154,0,1,0,0,0,0
AC023509,382,1060,309,138,200,0
MIR3179-2,1,1,1,1,0,0
AC009779,0,0,1,0,0,0
AC023055,1596,2883,1459,5637,3254,3784
AC126763,0,0,5,5,3,3
AC126177,0,0,0,0,3,0
AC079600,0,0,0,1,0,0
AC009803,0,0,0,0,18,19
AC004241,4,45,19,15,0,6
AC068305,0,0,0,0,22,0
SETP7,0,0,0,4,0,0
ZNF878,12,8,4,2,8,30
AC034102,0,0,3,0,0,0
AC004551,0,8,0,0,0,0
AC011611,6,9,7,4,17,4
AC009320,0,0,0,0,0,9
AC069437,0,0,2,0,0,0
AC125611,2,7,4,4,5,11
PPFIA2-AS1,53,3,19,6,0,0
AC027288,0,0,0,15,0,0
AC068888,0,1,0,0,0,0
LINC02354,0,0,0,0,0,0
AC010203,10,14,0,3,0,0
KRT73-AS1,9,0,0,0,0,6
AC025031,0,0,0,7,0,52
AC121761,79,88,77,17,14,22
LINC02297,0,0,0,0,7,0
AC133555,2,1,1,1,4,0
LINC02373,3,0,0,0,0,0
AC073487,68,83,58,30,26,12
AC084824,131,213,79,62,98,105
AC124947,0,0,0,0,0,0
NPIPB1P,0,0,0,0,15,3
AC026765,0,0,0,0,0,0
SFTA3,0,0,0,1,0,0
LINC02326,0,0,0,4,4,0
AL157935,3279,7922,4608,3250,7586,4511
AC107032,0,0,0,12,0,0
AC126755,9,8,18,26,14,22
RPL36A-HNRNPH2,1440,1295,70,705,118,417
AC008147,2,0,3,1,7,8
AC023794,0,0,0,0,11,0
HSPA8P14,6,0,0,0,0,0
OR7E47P,1,9,1,3,13,0
AC063948,4,10,7,6,37,0
AC079385,10,12,8,3,0,0
AC023509,7,12,15,0,0,0
HLX-AS1,3,0,0,0,0,0
LINC02298,14,22,4,53,32,45
PPP1R12A-AS1,65,51,37,46,45,155
AC126755,0,0,19,11,4,15
AC068993,0,0,0,4,0,0
AC079035,0,0,0,0,0,0
GSTP1P1,0,0,0,0,0,2
AC008127,0,0,0,4,0,49
HSPD1P4,64,60,73,76,17,30
AC025154,16,14,12,58,19,19
ZNF625,91,62,32,100,25,0
GALNT4,1753,1448,2168,856,1091,732
LINC02356,0,0,0,0,0,0
SCAT2,0,16,18,36,0,29
OVCH1-AS1,18,13,3,10,0,8
AC027288,0,0,0,0,0,0
MYG1-AS1,62,39,52,83,223,208
AC010182,0,4,0,0,0,0
PSMA3-AS1,6420,7085,5952,6211,6000,4156
AC004024,6,1,2,0,0,20
KCCAT198,0,0,0,0,0,0
AC084824,0,0,0,0,0,0
AC079950,0,0,0,0,7,0
AC004217,0,0,0,2,0,0
AC025259,1,0,0,0,0,0
CBX3P5,0,0,0,0,0,1
KRT7-AS,7,204,0,0,0,0
CR383656,2,0,0,13,7,10
AC020629,10,14,2,0,0,1
BTBD10P1,0,0,0,3,0,0
AC025265,28,92,10,34,94,18
LINC02463,0,0,0,0,0,0
AC133555,0,0,0,0,1,0
AC010203,0,0,0,0,0,0
GIHCG,141,136,150,378,378,193
LBX2-AS1,131,222,129,237,414,142
INAFM1,2315,2152,1943,11444,12506,12858
AC079385,0,0,12,0,0,0
AC007298,5,3,0,0,10,0
CPNE8-AS1,30,10,9,0,4,122
CR383656,0,0,0,0,2,0
LINC02399,0,0,0,1,2,0
CNPY2,4208,3940,3029,9684,7895,9322
LSM6P2,0,0,0,0,0,4
CR383656,0,0,1,0,5,0
AC089983,82,125,122,118,189,12
AC090115,0,0,0,0,0,0
AC073896,19,14,14,20,6,9
MGAM2,0,0,0,0,0,0
AC138123,0,0,0,0,4,2
LINC02426,0,0,2,0,1,0
AC091516,11,2,8,0,1,0
AL357153,1,0,0,0,0,0
AC078860,0,0,0,0,0,0
OR5BK1P,3,5,2,0,0,0
AC002996,0,0,5,0,0,0
AC026401,0,0,0,0,0,0
ST13P3,36,12,4,26,32,39
AC022507,0,4,0,0,0,0
EIF4A1P4,25,16,24,34,30,15
FNBP1P1,111,96,203,24,0,18
AC089984,8,15,19,92,56,177
AC010200,0,0,4,0,0,0
AC073573,5,16,0,0,0,0
PRANCR,138,67,76,173,222,169
AC026765,0,0,0,0,0,0
C1GALT1P1,8,0,15,37,0,19
MRPS6P4,0,0,0,0,0,0
AC092552,0,2,0,0,0,0
AL133304,0,0,0,5,0,0
AL136418,5,8,0,0,12,0
OTOAP1,0,6,23,36,72,22
AC011611,1,0,1,1,1,1
LINC02588,0,0,4,0,4,7
AL512310,0,0,0,0,0,4
LSM3P2,0,5,0,0,0,0
AC074029,0,0,0,0,0,0
HNRNPA3P10,58,110,49,58,26,50
CASC18,4,4,0,0,0,0
AC090049,0,0,0,0,0,0
AC025030,4,6,4,0,0,8
AC233290,8,4,0,5,0,0
AC007298,0,0,5,4,0,0
AC078789,0,2,5,2,0,0
AL512310,3,0,1,0,0,0
LINC02404,0,0,0,0,0,0
AC027288,7,12,0,0,16,0
AL162632,1,1,3,5,14,5
AL133372,0,0,0,0,0,0
LINC02156,0,8,8,4,47,14
DDN-AS1,137,97,131,148,127,139
AC079385,0,0,10,9,0,0
AC025165,11,0,0,3,0,0
CUX1,8988,9733,12537,6005,6634,4669
AC079598,0,0,0,0,3,14
AC011611,33,38,26,11,5,0
AC084879,0,0,10,0,0,0
TEN1,310,82,207,303,442,765
P2RX5-TAX1BP3,714,665,332,335,1616,641
AC083805,6,2,0,0,0,0
AC125611,2,11,4,0,7,5
AC004801,0,0,0,2,0,0
NOP56P3,4,0,3,0,0,0
QRSL1P3,0,4,0,0,0,0
AC020612,0,8,7,8,0,0
OLA1P3,0,4,4,0,0,0
SNRPGP18,0,0,0,0,0,0
AC004801,0,0,0,0,0,0
LINC02306,0,4,0,0,0,0
AC078864,0,4,0,0,0,0
AC126614,0,0,3,0,0,0
HMGA1P3,10,16,4,10,8,2
AC026111,8,0,0,0,0,0
HIGD1AP1,0,2,0,0,0,0
AC011603,374,307,258,681,288,1507
AC025259,6,2,4,5,0,0
OR5BT1P,0,4,0,1,0,0
AC078955,0,0,0,0,0,0
NF1P4,0,0,0,0,0,0
AL135878,0,0,0,8,9,0
AC063947,0,0,0,0,0,0
AC012157,7,17,14,0,0,0
LINC02327,0,0,0,0,0,0
AC073569,0,0,4,3,0,0
Metazoa_SRP,0,0,0,0,0,0
AC073569,2,0,0,0,0,0
AC009779,102,172,76,285,193,107
BCDIN3D-AS1,15,36,62,30,6,11
CR383656,0,0,0,0,0,0
AC078923,0,0,8,8,0,0
ARHGAP42P4,4,0,0,0,4,0
AL110292,0,0,0,0,0,13
AL391832,0,26,20,16,41,149
OR9A4,0,2,0,0,13,2
AC079313,30,21,25,10,6,0
AC078820,4,4,6,0,0,0
AC093014,4,14,4,0,4,0
AC005841,0,1,0,0,0,0
AC025031,16,17,18,0,0,16
ATXN2-AS,16,5,8,7,0,0
AC010173,90,58,44,614,101,95
MAP1LC3B2,185,174,186,174,258,194
HIGD1AP9,0,0,0,0,5,2
AC079316,0,0,0,0,8,0
CCNG2P1,0,0,0,0,0,0
PPIAP45,0,0,0,0,0,0
PPIAP44,0,0,0,0,0,0
MKRN9P,3,2,7,21,58,52
AC106782,41,54,20,35,194,70
AC016954,1,2,3,0,0,0
LINC02396,0,0,0,0,0,0
AC007622,46,46,102,0,10,4
AC079313,0,0,0,0,4,0
LINC02406,2,0,0,0,0,0
AC133555,16,20,4,27,86,37
HSPE1P4,0,0,0,0,0,4
AL512356,0,2,1,1,1,13
AC069228,0,0,0,0,1,6
AC025569,0,21,6,0,8,5
AC089998,0,0,0,0,14,0
LINC02412,0,0,0,0,0,0
AC073655,17,16,18,0,0,0
AC008149,0,0,0,0,0,0
AC008083,0,0,0,0,0,0
LINC02392,0,0,0,0,0,3
SLC7A5P2,8,16,14,7,16,3
AC073896,0,0,0,0,0,0
AC026371,0,0,0,0,4,0
AC008126,0,4,0,0,0,0
AC079598,0,0,0,0,0,3
AC144548,26,16,0,0,2,0
ZNF75BP,0,0,0,0,0,0
AC078886,0,0,0,0,0,0
AC009522,0,0,0,0,2,0
PRSS58,0,0,0,0,0,0
AC073571,0,0,0,0,0,2
CLEC5A,69,212,32,49,3673,385
AC063950,15,27,5,0,0,0
AC125611,91,5,6,138,49,448
AC002351,0,0,0,0,0,0
RPL10P13,0,0,5,9,4,12
AC011773,0,0,0,0,0,0
AC073896,0,0,0,0,0,0
AC007513,0,0,0,0,0,0
AC024257,6,8,3,9,11,4
LINC00592,0,8,0,0,0,24
BTF3P2,21,15,4,5,35,12
AC011603,1,0,0,0,0,0
NENFP2,0,0,0,4,0,6
CHURC1,2378,2376,3571,2118,1884,1272
VASH1-AS1,31,50,38,495,315,774
AC025034,216,82,247,21,12,0
AC012464,8,10,0,0,32,32
AC009779,679,779,674,1177,1007,714
C17orf49,1032,1313,1038,2048,1835,4539
KLF17P1,0,0,8,0,0,0
AC034102,52,29,46,0,0,0
AC090502,0,2,0,0,6,0
AL512310,0,0,0,0,1,0
ITFG2-AS1,0,6,2,9,0,0
LINC02394,0,0,0,0,11,0
AC125611,0,0,13,29,0,0
DUX4L52,3,0,0,0,0,0
AC130895,2,0,0,0,0,28
AC090680,0,0,0,0,0,0
AC090001,0,0,0,0,0,2
AC078778,1,4,5,0,0,0
AC034102,0,1,0,0,0,0
AC079384,0,0,0,0,0,0
IFITM3P6,14,13,6,0,58,65
AC138932,0,0,26,44,4,31
AC079174,0,3,0,0,1,2
NSA2P2,4,5,4,8,9,19
PCNPP1,3,10,26,43,16,0
AC073655,89,64,53,124,161,202
RTEL1,2093,1844,2911,1504,648,467
SLC25A3P2,0,0,0,0,0,0
AC004846,41,46,59,41,97,34
AL139099,921,605,98,102,70,0
AL139021,0,0,0,0,6,0
AL356805,2,2,0,0,0,5
RCCD1-AS1,18,31,33,11,7,121
AL358913,0,0,0,0,0,0
PPT2-EGFL8,1136,1310,679,1543,1591,829
LINC02318,0,12,0,0,0,0
AL442163,0,0,0,0,0,0
BCAR1P1,0,0,0,0,2,0
AL117190,5,33,10,14,47,43
AL591767,8,0,0,0,0,0
AL512361,2,0,0,0,0,0
ZNF578,41,50,48,31,127,28
AL157955,0,0,0,0,0,0
NT5CP2,0,0,0,0,0,0
AL355102,0,2,0,0,0,0
AL158801,0,0,10,0,0,0
AL121790,0,8,0,0,0,0
AC022469,0,0,0,0,0,0
AL160191,3,0,5,0,0,0
OR7E105P,4,0,0,0,0,0
AL512791,112,89,102,30,4,12
RBM8B,11,6,19,34,21,12
AL161757,0,0,2,0,0,0
PDF,734,901,521,1781,690,1429
AC004825,0,0,0,0,0,0
AC007956,6,13,15,0,0,0
AL118557,0,0,4,0,0,0
LINC00641,4647,4927,6202,1393,1363,1874
AC005225,0,0,0,0,0,0
AL132777,0,0,0,0,0,8
AL442663,12,0,0,0,0,0
AC023510,0,0,0,0,0,0
AL139099,0,0,0,2,0,0
OR11H2,0,0,0,5,0,0
AC016526,0,0,6,0,0,0
AL158801,2,0,0,0,0,0
AL132780,0,13,0,12,19,0
AL160314,45,51,0,43,50,46
AC012651,545,1051,668,485,161,260
AL160237,0,0,0,0,7,0
AL139011,0,8,17,0,6,0
AL049779,11,9,8,8,1,4
CHMP4BP1,57,133,53,85,183,318
AL161668,11,25,7,13,11,10
AC005726,108,0,119,0,474,163
LINC02313,0,0,0,0,0,7
LINC02207,4,0,0,0,84,0
PPIAP6,0,2,0,5,0,4
LINC00640,0,0,0,12,0,0
TRAV15,0,0,0,0,0,0
SPESP1,293,440,28,254,185,54
SRMP2,8,0,0,0,2,0
AC023310,3,4,3,10,0,0
AC027013,13,26,17,44,24,5
DIO3OS,0,66,0,0,20,0
AL845552,0,0,1,2,2,14
AL352979,2,0,2,0,0,0
AL157871,0,0,0,0,0,0
LINC00239,0,0,0,0,21,41
AC006349,0,0,7,0,9,2
AL355075,47,54,51,13,0,0
AC004817,0,0,0,0,4,7
AL121579,0,0,0,0,0,0
AL359317,2,0,1,0,0,0
AL157871,17,21,32,14,22,23
NT5CP1,0,12,11,0,15,0
AL049830,34,16,46,31,13,0
AL049828,54,10,11,10,19,0
ASB9P1,0,0,0,0,19,4
AP001781,4,0,22,0,0,11
BANF1P1,0,0,0,4,0,0
AL079307,0,0,0,0,0,0
AC068896,218,191,408,40,0,6
AC107958,0,0,0,0,0,0
AC068831,0,1,0,1,1,0
GLRXP2,0,0,0,0,0,0
RHOXF1-AS1,8,23,10,0,4,6
CENPUP2,0,0,0,0,10,0
CRAT37,8,5,0,8,4,48
FAM204DP,4,0,0,0,0,0
SPECC1L-ADORA2A,0,0,0,651,0,0
LINC02322,0,0,0,0,0,0
AL121852,31,8,20,22,3,1
AC005519,57,94,206,52,41,16
AL359232,11,7,15,0,0,0
PSMA3P,0,0,0,0,0,0
BLZF2P,5,8,6,0,5,0
AC007376,0,0,3,0,0,0
RHOQP1,24,19,12,28,21,7
AC007376,0,5,0,0,0,0
PTTG4P,38,22,50,15,4,0
AL133467,0,0,0,0,0,0
SNRPGP1,0,0,0,0,0,4
AL136298,6,0,9,0,0,0
AL157871,2,4,5,0,5,5
LINC01500,2,0,0,0,0,0
LINC02274,4,6,14,0,34,6
AC006530,0,0,0,0,4,0
TRIM6-TRIM34,0,6,0,21,0,159
NBEAP1,16,23,27,12,36,0
PPIAP4,6,29,11,27,13,28
AL391152,0,0,0,4,0,0
AL583810,0,4,3,14,0,0
SERPINA2,0,0,0,0,0,4
AL355922,0,0,0,0,7,0
LINC01629,7,0,0,0,1,0
AC005225,11,9,11,29,23,4
DNAJC19P9,4,5,0,5,3,0
LINC-ROR,0,0,0,0,0,0
