"","DOR_1","DOR_2","DOR_3","NOR_1","NOR_2","NOR_3"
"KIAA0100",16645.8982042951,13957.2719657469,18913.3587901529,8300.16757047965,6798.30933358958,6464.84648621307
"GAS7",139.255187051367,505.621259512847,104.115690099929,115.202054972805,2921.25565285188,792.648545842116
"TRAPPC6A",927.714133454883,812.004719743048,571.148928548183,3675.22653425436,4513.59949848954,5244.34084698348
"MATK",189.269373950098,85.8936290240738,8.92420200856536,109.582442535107,2963.3656069493,1452.98290384475
"CD79B",73.5502748510742,39.8475598565291,33.713652032358,19.6686435319423,366.258670521824,145.916580981856
"SCN4A",251.051604825,59.3285891197211,207.239802198907,73.991563763021,68.5510880655821,32.1511110637988
"ST7L",1024.8004962583,693.347541503606,1159.15468311255,617.220766073808,882.350433529849,978.135725056339
"TKTL1",221.63149488457,69.0691037513171,138.820920133239,275.361009447192,310.438498811279,317.801367053703
"PAX6",3.92268132539063,3.54200532058036,10.9073580104688,6.55621451064743,0,17.3121367266609
"RPUSD1",855.144528935157,1216.67882761935,896.386512860343,2921.26186552991,3364.879122762,2988.81674773852
"RHBDF1",3762.83206138096,5682.26203554105,4790.3133225977,3134.80713816242,5603.56179873229,3419.14700351552
"LUC7L",6693.07501144776,6686.42054392558,7484.43075118348,13783.0361055268,10892.767893621,11073.5845990892
"CACNA2D2",84.3376484958985,73.4966104020425,64.4525700618609,87.1039927843159,65.6131842913428,13.6023931423764
"BAIAP3",224.573505878613,249.711375100916,181.458774174162,283.790428103739,342.75544032791,293.069743158473
"TSR3",2224.16031149649,2661.81699841614,1923.66132184631,10651.9753756562,8748.09813842635,13808.9022019016
"PIGQ",2675.26866391641,3622.58594162357,2644.5385285382,8428.48205447375,7904.91975521969,6982.97400681814
"CRAMP1",1959.37932203262,2938.97891475156,2988.61609486844,1951.87872002704,1608.99196702502,2073.74666361502
"TEAD3",1164.05568330967,1887.00333453919,1497.28278143708,966.573339284021,1096.81740904931,1530.88751911473
"SELE",0,1237.93085954284,93.2083320894604,0,7.83441006463795,17.3121367266609
"DNAJC11",8266.0702229294,6960.04045494041,9878.1000454809,16603.1449471781,9352.32701466155,10285.8823780261
"FMO3",7.84536265078125,10.6260159617411,0,0,0,39.5705982323677
"MYLIP",622.725660405762,907.638863398718,563.21630454057,599.425326687765,496.50573784643,311.618461079896
"NOX1",0,0,2.97473400285512,26.2248580425897,0,12.3658119476149
"E2F2",3.92268132539063,34.5345518756585,21.8147160209375,39.3372870638846,65.6131842913428,133.550769034241
"PSMB1",7395.23496869268,6369.41106773364,6436.33280417753,17976.2035861223,17176.9440667187,23731.2297086678
"SYN1",2020.18088257617,1905.59886247224,1479.43437741995,2526.01579074516,2873.26989120597,2737.79076520194
"JARID2",4485.58609558418,5022.56354458296,7350.567721055,1255.98337982546,4499.88928087642,2850.31965392524
"CDKL5",514.85192395752,738.508109341006,743.68350071378,390.563064419997,231.11509690682,178.067692045655
"CAMK1G",22.5554176209961,178.871268689308,34.7052300333097,5.6196124376978,64.6338830332631,108.819145139011
"CDK11A",3287.20695067735,5388.27559393288,6125.96888987964,6592.74199149247,7252.70511733858,7611.15725375698
"NADK",8190.55860741563,10362.1365653579,9593.51715920776,10360.6921309688,9934.03196196092,10367.4967368803
"TFAP2B",5.88402198808594,5.31300798087055,0,0,0,0
"DLEC1",131.409824400586,145.222218143795,125.930406120867,104.899432170359,107.723138388772,119.948375891865
"CYTH3",3461.76626965723,3165.6672552687,3366.40731323104,2304.97770152905,1628.57799218661,2257.99726163448
"ADAM22",53.9368682241211,121.313682229877,68.4188820656678,16.8588373130934,34.275544032791,29.6779486742758
"SYPL1",5751.63149335401,5161.58725341573,4937.06686673855,3930.91890016961,3189.58419756573,3237.36956788558
"CYB561",1531.80705756504,1792.25469221366,2120.9853440357,1705.55237484128,1990.91945767612,1754.70871536656
"SPAG9",16648.8402152892,11599.1819235705,14296.5716177217,4531.28082893032,6640.64183103874,6881.5743488477
"CELSR3",1498.46426629922,1053.74658287266,1895.89713781966,733.359423119563,471.043905136357,707.324443403573
"AASS",17694.2347885058,12182.7273001362,20664.4855398336,11519.2688952075,6093.21242777217,8071.16545820825
"PLEKHG6",201.03741792627,420.613131818918,192.366132184631,36.5274808450357,155.708900034679,79.1411964647354
"SS18L2",738.444759504785,650.843477656642,512.645826492032,1308.43309591064,1523.79275757208,1235.34461356673
"MPND",535.446000915821,584.43087789576,418.44591640162,1621.25818827581,2289.60634139044,1891.96922798508
"MGST1",34937.3612245916,25002.1300566466,31787.0159765089,57477.3960127731,32093.6608297894,47205.2505288251
"CRY1",6174.30040616485,2774.27566734457,3359.46626722438,1100.50743571582,2099.62189732297,2554.77674837724
"PGLYRP1",3.92268132539063,0,0,0,38.19274906511,154.572649345186
"NFIX",766.884199113868,1980.86647553457,1017.35902897645,462.681424037119,454.395783749001,528.020170163157
"ST3GAL1",15257.2690151068,11710.7550911688,17157.2741504674,6199.36912085362,6639.66252978066,6917.43520349578
"MMP25",402.074835852539,270.963407024398,142.787232137046,191.066822881725,1453.28306699034,805.01435778973
"IL32",682.546550617969,1856.89628931426,883.495998847971,2533.50860732876,4954.28506462542,7138.78323735809
"PKD1",7999.32789280284,9693.58306109831,11615.3447031483,6524.37004016714,5742.62257737962,3964.47931040534
"MAPK8IP2",96.1056924720704,156.733735435681,164.601948157983,204.17925190302,186.067239035151,166.938461292801
"MED24",6323.36229652969,6699.70306387776,7891.96930957464,8279.56232487476,5871.89034344614,5445.90358172961
"RHOBTB2",1330.76963963877,1077.65511878658,1573.63428751036,1438.62078405064,845.136985722819,981.845468640624
"HEATR5B",3250.92214841748,2430.70115124827,3553.81555541092,968.446543429921,861.785107110175,843.348374827337
"SEC62",13767.6307817898,11144.9197412061,11538.0016190741,9823.08254109575,9195.63881336879,11554.6146838514
"RPS20",13332.2131546714,13304.65748543,10927.1895704878,38247.0822509712,47704.7021848386,67715.1862251392
"CSDE1",53972.1723560496,45876.938413487,54671.6446604733,29735.242612005,26717.2969229316,25964.495346407
"UBE3C",8691.68114673428,8183.80329320093,10128.9692797217,4177.24524535536,3940.70826251289,3453.77127696884
"REV3L",6657.77087951924,3456.99719288643,6976.74281469621,1558.50584938819,2039.88452058011,1885.78632201127
"TENM1",73.5502748510742,28.3360425646429,143.778810137997,26.2248580425897,11.7516150969569,14.8389743371379
"MASP2",489.354495342481,322.322484172813,258.801858248395,40.2738891368342,48.9650629039872,60.592478543313
"FAM76A",693.333924262793,475.514214287914,574.123662551038,547.912212675535,638.504420267993,774.099827920693
"TRAF3IP3",539.368682241211,481.712723598929,545.367900523439,278.170815666041,1024.34911595141,735.765810883087
"POMT2",3540.21989616504,3302.91996144119,3971.26989381159,4980.84982394615,4103.27227135413,4008.99623341675
"VTA1",4296.31672163408,3223.22484172813,3581.57973943756,2752.67349239897,2250.43429106725,2584.45469705152
"MLXIPL",3394.10001679424,3872.29731672448,6246.94140599575,8223.36620049778,2961.40700443315,5636.33708572288
"BAZ1B",12060.2837349135,10069.92112641,14579.1713479929,8759.10258622497,4941.55414827039,3879.1552079668
